name,email,organization,type
,info@grodzinskibakery.com,Grodzinski Bakery,vendor
,info@nortownfoods.com,Nortown Foods,vendor
,info@marronbistro.com,Marron Bistro,vendor
,info@unitedbakers.ca,United Bakers Dairy Restaurant,vendor
,info@thefooddudes.com,The Food Dudes,vendor
,catering@summerhillmarket.com,Summerhill Market,vendor
,info@centrestreetdeli.com,Centre Street Deli,vendor
,info@jemsalads.com,Jem Salads,vendor
,info@schmaltzappetizing.com,Schmaltz Appetizing,vendor
,info@bubbysbagels.com,Bubby's New York Bagels,vendor
,catering@elysfinefoods.com,Ely's Fine Foods,vendor
,order@milknhoney.ca,Milk 'N Honey,vendor
,manager@slicenbites.com,Slice N Bites,vendor
,chickennestorders@gmail.com,The Chicken Nest,vendor
,info@umamisushi.ca,Umami Sushi,vendor
,info@wokandbowl.ca,Wok & Bowl,vendor
,info@blossombylaplaza.com,Blossom by La Plaza,vendor
,info@lamarguerite.ca,La Marguerite Catering,vendor
,robert@nosherz.com,Nosherz,vendor
,info@montrealkosher.ca,Montreal Kosher Bakery,vendor
,info@paradisekosher.com,Paradise Kosher Catering,vendor
,jferrer@europea.ca,Europea,vendor
,wholesale@mandys.ca,Mandy's,vendor
,moishesmontreal@moishes.ca,Moishes,vendor
,info@aishtanoor.com,Aish Tanoor,vendor
,customerservice@laurasecord.ca,Laura Secord,vendor
,sales@purdys.com,Purdys Chocolatier,vendor
,guestcare@longos.com,Longo's,vendor
,catering@paramountfinefoods.com,Paramount Fine Foods,vendor
,info@lestersdeli.com,Lester's Deli,vendor
,montrealdeli365@gmail.com,Deli 365,vendor
,info@districtbagel.com,District Bagel,vendor
,info@prccaterers.com,PRC Caterers,vendor
,info@yummymarket.com,Yummy Market,vendor
,info@gibbys.com,Gibby's,vendor
,info@oliveetgourmando.com,Olive et Gourmando,vendor
,info@schwartzsdeli.com,Schwartz's Deli,vendor
,info@terroni.com,Terroni,vendor
,info@beyonddelish.ca,Beyond Delish,vendor
,scaramouche@rogers.com,Scaramouche Restaurant,vendor
,info@beth-tzedec.org,Beth Tzedec Congregation,synagogue
,info@holyblossom.org,Holy Blossom Temple,synagogue
,info@shomayim.org,Shaarei Shomayim,synagogue
,info@bethsholom.net,Beth Sholom Synagogue,synagogue
,info@adathisrael.com,Adath Israel Congregation,synagogue
,ediamond@aishtoronto.com,Aish HaTorah Toronto,synagogue
,office@villageshul.com,Village Shul,synagogue
,webmaster@beby.org,Beth Emeth Bais Yehuda,synagogue
,office@shaareitorah.com,Kehillat Shaarei Torah,synagogue
,info@templesinai.net,Temple Sinai,synagogue
,claire@darcheinoam.ca,Darchei Noam,synagogue
,info@bayt.ca,BAYT (Beth Avraham Yoseph of Toronto),synagogue
,admin@theshaar.org,Congregation Shaar Hashomayim,synagogue
,office@thespanish.org,Spanish & Portuguese Synagogue,synagogue
,info@templemontreal.ca,Temple Emanu-El-Beth Sholom,synagogue
,bethzion@bethzion.com,Beth Zion Congregation,synagogue
,info@bethtikvah.ca,Congregation Beth Tikvah,synagogue
