Cycle 4 — Apr 30 placeholder backfill,,,
"38 placeholders on prod, 31 eligible after wrong-URL/no-website filter",,,
Vendor Name,City,Image Status,New Image URL
Nortown Foods,Toronto,Replace,https://www.nortownfoods.com
Adar,Côte-Saint-Luc,Replace,https://www.adar.ca
Baskets Galore,Online — ships Canada-wide,Replace,https://basketsgalore.com
Beyond Delish,Richmond Hill,Replace,https://www.beyonddelish.ca
Cheese Boutique,Toronto,Replace,https://www.cheeseboutique.com
Dr. Laffa,Toronto,Replace,https://drlaffa.com/
Edible Arrangements,Multiple GTA locations,Replace,https://www.ediblearrangements.ca
Ely's Fine Foods Gift Baskets,North York,Replace,https://elysfinefoods.com
Europea,Montréal,Replace,https://jeromeferrer.ca/en/
F + B Kosher Catering,North York,Replace,https://fbkosher.com
Fruitate,Toronto,Replace,https://fruitate.com/
Hickory Farms,Online + seasonal retail locations,Replace,https://www.hickoryfarms.com
Howie T's Burger Bar,Thornhill,Replace,https://howiets.ca
Indigo,Multiple locations across Canada,Replace,https://www.indigo.ca
Levy's Catering,Toronto,Replace,https://www.levyskoshercatering.com
Mehadrin Meats,Montréal,Replace,https://mehadrinmeats.ca
Montreal Kosher Bakery,Montréal,Replace,https://montrealkosher.ca
Pancer's Original Deli,North York,Replace,http://www.pancersoriginaldeli.com
Pizza Cafe,Toronto,Replace,https://www.pizzacafe.ca
Pizza Gourmetti,Saint-Laurent,Replace,https://www.pizzagourmetti.com
Purdys Chocolatier,Multiple locations across Canada,Replace,https://www.purdys.com
Pusateri's Fine Foods,Toronto,Replace,https://www.pusateris.com
Snowdon Deli,Montréal,Replace,https://www.snowdondeli.com
Sonny Langers Dairy & Vegetarian Caterers,180 Steeles Ave W Unit 12,Replace,http://www.sonnylangers.com
Sushi Inn,Toronto,Replace,https://www.sushiinn.net/
Tov-Li Pizza & Falafel,Toronto,Replace,https://tov-li.com/
Wolferman's Bakery,Online — ships North America,Replace,https://www.wolfermans.com
Zelden's Deli and Desserts,Toronto,Replace,http://www.zeldensdelianddesserts.com
Zera Cafe,Montréal,Replace,https://zeracafe.ca
Zuchter Berk Kosher Caterers,Toronto,Replace,http://www.zbcaterers.com
