name,full_address,city,state,postal_code,phone,site,latitude,longitude,rating,reviews,working_hours,place_id,type,subtypes,category,description,source_keyword
Milk ‘N Honey,"3457 Bathurst St, North York, ON M6A 2C5",North York,Ontario,M6A 2C5,+1 416-789-7651,http://www.milknhoney.ca/,43.7284779,-79.4315608,4.6,192.0,None,ChIJyylk4UZMV0ARBeiLCfaIJYQ,Caterer,"Caterer, Kosher restaurant, Vegetarian restaurant",restaurants,"Eclectic strip-mall restaurant & catering spot offers Jewish food, pizza & an array of sandwiches.",shiva catering Toronto
Ely's Fine Foods,"3537 Bathurst St, North York, ON M6A 2C7",North York,Ontario,M6A 2C7,+1 416-782-3231,https://elysfinefoods.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,43.7298573,-79.4319058,4.4,95.0,"{'Friday': ['7a.m.-3p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['8:30a.m.-8p.m.'], 'Tuesday': ['9a.m.-7p.m.'], 'Wednesday': ['9a.m.-7p.m.']}",ChIJG8-bC1oyK4gRCubvWo3-qbM,Kosher restaurant,Kosher restaurant,restaurants,,shiva catering Toronto
Mitzuyan Kosher Catering,"18 Reiner Rd, Toronto, ON M3H 2K9",Toronto,Ontario,M3H 2K9,+1 416-419-5260,https://mitzuyankoshercatering.com/,43.7523631,-79.4389793,5.0,20.0,"{'Friday': ['12a.m.-2p.m.'], 'Monday': ['8a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['8a.m.-5p.m.'], 'Thursday': ['8a.m.-5p.m.'], 'Tuesday': ['8a.m.-5p.m.'], 'Wednesday': ['8a.m.-5p.m.']}",ChIJm1q_PQsuK4gRfo6Ae7HTbuo,Caterer,Caterer,Caterer,,shiva catering Toronto
Pantry,"3456 Bathurst St, Toronto, ON M6A 2C4",Toronto,Ontario,M6A 2C4,+1 416-785-0996,http://pantryfoods.ca/,43.7280989,-79.4321159,4.3,150.0,"{'Friday': ['10a.m.-2p.m.'], 'Monday': ['10a.m.-4:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['10a.m.-2p.m.'], 'Thursday': ['10a.m.-4:30p.m.'], 'Tuesday': ['10a.m.-4:30p.m.'], 'Wednesday': ['10a.m.-4:30p.m.']}",ChIJr5ae-0ZMV0ARDqIAAWPXTQc,Caterer,"Caterer, Takeout Restaurant, Kosher grocery store",restaurants,Miniature take-out joint specializing in prepared vegetarian & fish dishes with eclectic influences.,shiva catering Toronto
Kosher Gourmet,"3003 Bathurst St, North York, ON M6B 3B3",North York,Ontario,M6B 3B3,+1 416-781-9900,http://koshergourmet.ca/,43.717501,-79.4291435,4.7,82.0,"{'Friday': ['7:30a.m.-2:30p.m.'], 'Monday': ['10a.m.-7p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-5p.m.'], 'Thursday': ['8:30a.m.-7p.m.'], 'Tuesday': ['9:30a.m.-7p.m.'], 'Wednesday': ['9:30a.m.-7p.m.']}",ChIJa7gUp6szK4gRkY13TvjIdZ8,Caterer,"Caterer, Takeout Restaurant, Kosher restaurant, Sushi restaurant",restaurants,,shiva catering Toronto
Beyond Delish Kosher Food Catering & Takeout,"5987 Bathurst St, North York, ON M2R 1Z3",North York,Ontario,M2R 1Z3,+1 905-884-7700,https://www.beyonddelish.ca/,43.786343599999995,-79.4456625,5.0,36.0,"{'Friday': ['9a.m.-1p.m.'], 'Monday': ['Closed'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['10a.m.-8p.m.'], 'Tuesday': ['10a.m.-5p.m.'], 'Wednesday': ['10a.m.-6p.m.']}",ChIJjw9Bi6ArK4gRdWoUvKJ7cDI,Catering food and drink supplier,Catering food and drink supplier,Catering food and drink supplier,,shiva catering Toronto
Zuchter Berk Kosher,"2301 Keele St, Toronto, ON M6M 3Z9",Toronto,Ontario,M6M 3Z9,+1 416-386-1086,http://www.zbcaterers.com/,43.7573041,-79.35978949999999,3.4,18.0,"{'Friday': ['Closed'], 'Monday': ['11a.m.-9p.m.'], 'Saturday': ['Closed'], 'Sunday': ['11a.m.-9p.m.'], 'Thursday': ['11a.m.-9p.m.'], 'Tuesday': ['11a.m.-9p.m.'], 'Wednesday': ['11a.m.-9p.m.']}",ChIJ-wKBzaPS1IkRDllUJS71TcM,Catering food and drink supplier,Catering food and drink supplier,Catering food and drink supplier,,shiva catering Toronto
Encore Catering,"5000 Dufferin St unit p, North York, ON M3H 5T5",North York,Ontario,M3H 5T5,+1 416-661-4460,https://www.encorecatering.com/,43.7820337,-79.4715513,4.8,285.0,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJRV-XYHUuK4gR_rMsiTWBrko,Caterer,Caterer,Caterer,,shiva catering Toronto
Apex Kosher Catering,"100 Elder St, North York, ON M3H 5G7",CA,Ontario,M3H 5G7,+1 416-901-5044,https://www.apexkoshercatering.com/,43.7605547,-79.4543032,5.0,21.0,"{'Friday': ['9a.m.-4p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJIaKltUctK4gR1n2aRu6Z67Q,Catering food and drink supplier,Catering food and drink supplier,Catering food and drink supplier,,shiva catering Toronto
Sonny Langer's Catering,"180 Steeles Ave W, Thornhill, ON L4J 2L1",Thornhill,Ontario,L4J 2L1,+1 905-881-4356,http://www.sonnylangers.com/,43.79813,-79.4260101,4.8,23.0,"{'Friday': ['7a.m.-3p.m.'], 'Monday': ['7a.m.-3p.m.'], 'Saturday': ['7a.m.-3p.m.'], 'Sunday': ['7a.m.-3p.m.'], 'Thursday': ['7a.m.-3p.m.'], 'Tuesday': ['7a.m.-3p.m.'], 'Wednesday': ['7a.m.-3p.m.']}",ChIJ1cWLaVUsK4gRYJKT1FB7ffo,Caterer,Caterer,Caterer,,shiva catering Toronto
