name,full_address,city,state,postal_code,phone,site,rating,reviews,latitude,longitude,working_hours,place_id,type,subtypes,source_keyword,flag
Milk ‘N Honey,"3457 Bathurst St, North York, ON M6A 2C5",North York,Ontario,M6A 2C5,+1 416-789-7651,http://www.milknhoney.ca/,4.6,192.0,43.7284779,-79.4315608,None,ChIJyylk4UZMV0ARBeiLCfaIJYQ,Caterer,"Caterer, Kosher restaurant, Vegetarian restaurant",shiva catering Toronto,ALREADY_IN_DB
Ely's Fine Foods,"3537 Bathurst St, North York, ON M6A 2C7",North York,Ontario,M6A 2C7,+1 416-782-3231,https://elysfinefoods.com/%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dgmb,4.4,95.0,43.7298573,-79.4319058,"{'Friday': ['7a.m.-3p.m.'], 'Monday': ['9a.m.-6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['9a.m.-6p.m.'], 'Thursday': ['8:30a.m.-8p.m.'], 'Tuesday': ['9a.m.-7p.m.'], 'Wednesday': ['9a.m.-7p.m.']}",ChIJG8-bC1oyK4gRCubvWo3-qbM,Kosher restaurant,Kosher restaurant,shiva catering Toronto,ALREADY_IN_DB
Kosher Gourmet,"3003 Bathurst St, North York, ON M6B 3B3",North York,Ontario,M6B 3B3,+1 416-781-9900,http://koshergourmet.ca/,4.7,82.0,43.717501,-79.4291435,"{'Friday': ['7:30a.m.-2:30p.m.'], 'Monday': ['10a.m.-7p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-5p.m.'], 'Thursday': ['8:30a.m.-7p.m.'], 'Tuesday': ['9:30a.m.-7p.m.'], 'Wednesday': ['9:30a.m.-7p.m.']}",ChIJa7gUp6szK4gRkY13TvjIdZ8,Caterer,"Caterer, Takeout Restaurant, Kosher restaurant, Sushi restaurant",shiva catering Toronto,ALREADY_IN_DB
Schmaltz Appetizing,"414 Dupont St, Toronto, ON M5R 1V9",Toronto,Ontario,M5R 1V9,+1 647-350-4261,http://www.schmaltzappetizing.com/,4.5,436.0,43.673991699999995,-79.4118167,"{'Friday': ['9a.m.-2p.m.'], 'Monday': ['9a.m.-2p.m.'], 'Saturday': ['9a.m.-4p.m.'], 'Sunday': ['9a.m.-4p.m.'], 'Thursday': ['9a.m.-2p.m.'], 'Tuesday': ['9a.m.-2p.m.'], 'Wednesday': ['9a.m.-2p.m.']}",ChIJo_CMBZs0K4gRg_URfFC5Vrw,Restaurant,"Restaurant, Bagel shop",shiva food package Toronto,ALREADY_IN_DB
United Bakers Dairy Restaurant,"506 Lawrence Ave W, North York, ON M6A 1A1",North York,Ontario,M6A 1A1,+1 416-789-0519,http://unitedbakers.ca/,4.6,1640.0,43.7202778,-79.4311111,"{'Friday': ['7:30a.m.-6p.m.'], 'Monday': ['7:30a.m.-9p.m.'], 'Saturday': ['8a.m.-8p.m.'], 'Sunday': ['8a.m.-8p.m.'], 'Thursday': ['7:30a.m.-9p.m.'], 'Tuesday': ['7:30a.m.-9p.m.'], 'Wednesday': ['7:30a.m.-9p.m.']}",ChIJ84WPX6szK4gRodP2QDc31mI,Restaurant,"Restaurant, Breakfast restaurant, Brunch restaurant, Diner, Family restaurant",shiva food package Toronto,ALREADY_IN_DB
The Food Dudes,"24 Carlaw Ave #2, Toronto, ON M4M 2R7",Toronto,Ontario,M4M 2R7,+1 647-340-3833,http://www.thefooddudes.com/,4.6,320,43.656078199999996,-79.3381562,"{'Friday': ['10a.m.-5p.m.'], 'Monday': ['10a.m.-5a.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['10a.m.-5p.m.'], 'Tuesday': ['10a.m.-5a.m.'], 'Wednesday': ['10a.m.-5p.m.']}",ChIJkzUcvLM0K4gRDCWv3vsTWhI,Caterer,Caterer,bereavement catering Toronto,ALREADY_IN_DB
Marron Bistro,"948 Eglinton Ave W, Toronto, ON M6C 2C5",Toronto,Ontario,M6C 2C5,+1 416-784-0128,http://www.marronbistro.com/,4.6,181,43.70054,-79.428673,"{'Friday': ['Closed'], 'Monday': ['5-10p.m.'], 'Saturday': ['Closed'], 'Sunday': ['5-10p.m.'], 'Thursday': ['5-10p.m.'], 'Tuesday': ['5-10p.m.'], 'Wednesday': ['5-10p.m.']}",ChIJVfQtep8zK4gRODiOsdtDWXY,Kosher restaurant,"Kosher restaurant, Bistro, Fine dining restaurant",kosher caterer Toronto,ALREADY_IN_DB
Chagall,"18 St Thomas St, Toronto, ON M5S 3E7",Toronto,Ontario,M5S 3E7,+1 416-934-6037,http://chagallto.com/,4.5,29,43.6687836,-79.3913129,"{'Friday': ['Closed'], 'Monday': ['5:30-10p.m.'], 'Saturday': ['Closed'], 'Sunday': ['5:30-10p.m.'], 'Thursday': ['5:30-10p.m.'], 'Tuesday': ['5:30-10p.m.'], 'Wednesday': ['5:30-10p.m.']}",ChIJqQ1pAbA0K4gRRvNZFN_4Ilo,Kosher restaurant,Kosher restaurant,kosher caterer Toronto,ALREADY_IN_DB
Bistro Grande,"1000 Eglinton Ave W, Toronto, ON M6C 2C5",Toronto,Ontario,M6C 2C5,+1 416-782-3302,https://www.bistrogrande.com/,4.4,259,43.7003554,-79.4296134,"{'Friday': ['Closed'], 'Monday': ['12-9p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-9p.m.'], 'Thursday': ['12-9p.m.'], 'Tuesday': ['12-9p.m.'], 'Wednesday': ['12-9p.m.']}",ChIJNTT_aZ8zK4gRcanMTxdSdQk,Kosher restaurant,"Kosher restaurant, Israeli restaurant, Restaurant, Mediterranean restaurant",kosher catering large groups Toronto,ALREADY_IN_DB
Haymishe Bakery,"3031 Bathurst St, Toronto, ON M6B 3B5",Toronto,Ontario,M6B 3B5,+1 416-781-4212,http://haymishebakery.com/,4.4,164,43.718252799999995,-79.42920769999999,"{'Friday': ['6a.m.-2:30p.m.'], 'Monday': ['7a.m.-7p.m.'], 'Saturday': ['6:30-11:30p.m.'], 'Sunday': ['7a.m.-7p.m.'], 'Thursday': ['7a.m.-7p.m.'], 'Tuesday': ['7a.m.-7p.m.'], 'Wednesday': ['7a.m.-7p.m.']}",ChIJY9MnEqszK4gRHbOEjsBFHuo,Kosher restaurant,"Kosher restaurant, Cake shop, Bakery, Pastry shop",kosher catering large groups Toronto,ALREADY_IN_DB
