name,full_address,city,state,postal_code,phone,site,rating,reviews,latitude,longitude,working_hours,place_id,type,subtypes,source_keyword,flag
Mitzuyan Kosher Catering,"18 Reiner Rd, Toronto, ON M3H 2K9",Toronto,Ontario,M3H 2K9,+1 416-419-5260,https://mitzuyankoshercatering.com/,5.0,20.0,43.7523631,-79.4389793,"{'Friday': ['12a.m.-2p.m.'], 'Monday': ['8a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['8a.m.-5p.m.'], 'Thursday': ['8a.m.-5p.m.'], 'Tuesday': ['8a.m.-5p.m.'], 'Wednesday': ['8a.m.-5p.m.']}",ChIJm1q_PQsuK4gRfo6Ae7HTbuo,Caterer,Caterer,shiva catering Toronto,
Pantry,"3456 Bathurst St, Toronto, ON M6A 2C4",Toronto,Ontario,M6A 2C4,+1 416-785-0996,http://pantryfoods.ca/,4.3,150.0,43.7280989,-79.4321159,"{'Friday': ['10a.m.-2p.m.'], 'Monday': ['10a.m.-4:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['10a.m.-2p.m.'], 'Thursday': ['10a.m.-4:30p.m.'], 'Tuesday': ['10a.m.-4:30p.m.'], 'Wednesday': ['10a.m.-4:30p.m.']}",ChIJr5ae-0ZMV0ARDqIAAWPXTQc,Caterer,"Caterer, Takeout Restaurant, Kosher grocery store",shiva catering Toronto,
Beyond Delish Kosher Food Catering & Takeout,"5987 Bathurst St, North York, ON M2R 1Z3",North York,Ontario,M2R 1Z3,+1 905-884-7700,https://www.beyonddelish.ca/,5.0,36.0,43.786343599999995,-79.4456625,"{'Friday': ['9a.m.-1p.m.'], 'Monday': ['Closed'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['10a.m.-8p.m.'], 'Tuesday': ['10a.m.-5p.m.'], 'Wednesday': ['10a.m.-6p.m.']}",ChIJjw9Bi6ArK4gRdWoUvKJ7cDI,Catering food and drink supplier,Catering food and drink supplier,shiva catering Toronto,
Zuchter Berk Kosher,"2301 Keele St, Toronto, ON M6M 3Z9",Toronto,Ontario,M6M 3Z9,+1 416-386-1086,http://www.zbcaterers.com/,3.4,18.0,43.7573041,-79.35978949999999,"{'Friday': ['Closed'], 'Monday': ['11a.m.-9p.m.'], 'Saturday': ['Closed'], 'Sunday': ['11a.m.-9p.m.'], 'Thursday': ['11a.m.-9p.m.'], 'Tuesday': ['11a.m.-9p.m.'], 'Wednesday': ['11a.m.-9p.m.']}",ChIJ-wKBzaPS1IkRDllUJS71TcM,Catering food and drink supplier,Catering food and drink supplier,shiva catering Toronto,low_rating
Encore Catering,"5000 Dufferin St unit p, North York, ON M3H 5T5",North York,Ontario,M3H 5T5,+1 416-661-4460,https://www.encorecatering.com/,4.8,285.0,43.7820337,-79.4715513,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJRV-XYHUuK4gR_rMsiTWBrko,Caterer,Caterer,shiva catering Toronto,
Apex Kosher Catering,"100 Elder St, North York, ON M3H 5G7",CA,Ontario,M3H 5G7,+1 416-901-5044,https://www.apexkoshercatering.com/,5.0,21.0,43.7605547,-79.4543032,"{'Friday': ['9a.m.-4p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJIaKltUctK4gR1n2aRu6Z67Q,Catering food and drink supplier,Catering food and drink supplier,shiva catering Toronto,
Sonny Langer's Catering,"180 Steeles Ave W, Thornhill, ON L4J 2L1",Thornhill,Ontario,L4J 2L1,+1 905-881-4356,http://www.sonnylangers.com/,4.8,23.0,43.79813,-79.4260101,"{'Friday': ['7a.m.-3p.m.'], 'Monday': ['7a.m.-3p.m.'], 'Saturday': ['7a.m.-3p.m.'], 'Sunday': ['7a.m.-3p.m.'], 'Thursday': ['7a.m.-3p.m.'], 'Tuesday': ['7a.m.-3p.m.'], 'Wednesday': ['7a.m.-3p.m.']}",ChIJ1cWLaVUsK4gRYJKT1FB7ffo,Caterer,Caterer,shiva catering Toronto,
F + B Kosher Catering,"5000 Dufferin St unit p, North York, ON M3H 5T5",North York,Ontario,M3H 5T5,+1 416-900-0918,https://fbkosher.com/,4.8,38.0,43.7820337,-79.4715513,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJOQmKKcQvK4gRZmJlNguLqrc,Caterer,Caterer,shiva catering Toronto,
Athletes Kitchen,"74 Jutland Rd Unit #31, Etobicoke, ON M8Z 2G6",Etobicoke,Ontario,M8Z 2G6,+1 416-516-0101,http://athleteskitchen.ca/,4.8,150,43.6282888,-79.5221334,"{'Friday': ['8a.m.-4p.m.'], 'Monday': ['8a.m.-4p.m.'], 'Saturday': ['8a.m.-4p.m.'], 'Sunday': ['8a.m.-4p.m.'], 'Thursday': ['Closed'], 'Tuesday': ['8a.m.-4p.m.'], 'Wednesday': ['8a.m.-4p.m.']}",ChIJs2q2_d40K4gRuEh-Tuni84c,Delivery Service,"Delivery Service, Catering food and drink supplier, Health food restaurant",shiva meal delivery Toronto,
On The Run Meals - Toronto Healthy Meal Delivery,"55 Nugget Ave, Scarborough, ON M1S 3L1",Scarborough,Ontario,M1S 3L1,+1 416-985-7116,https://otrmeals.com/,4.9,853,43.7921222,-79.2572735,"{'Friday': ['10a.m.-5p.m.'], 'Monday': ['10a.m.-5p.m.'], 'Saturday': ['10a.m.-1p.m.'], 'Sunday': ['11a.m.-8p.m.'], 'Thursday': ['10a.m.-8p.m.'], 'Tuesday': ['10a.m.-5p.m.'], 'Wednesday': ['10a.m.-8p.m.']}",ChIJLZwt7RDR1IkRwc5LnpeKnXY,Delivery Restaurant,Delivery Restaurant,shiva meal delivery Toronto,
SHIVA SAKTHI RESTAURANT,"7166 Airport Rd, Mississauga, ON L4T 2H2",Mississauga,Ontario,L4T 2H2,+1 905-677-3555,https://www.shivasakthi.ca/,4.6,1770,43.70693,-79.6473286,"{'Friday': ['11:30a.m.-11p.m.'], 'Monday': ['11:30a.m.-11p.m.'], 'Saturday': ['12-11p.m.'], 'Sunday': ['12-10p.m.'], 'Thursday': ['11:30a.m.-11p.m.'], 'Tuesday': ['11:30a.m.-11p.m.'], 'Wednesday': ['11:30a.m.-11p.m.']}",ChIJGyfJwKE7K4gRbq-m1ao-eHo,Indian restaurant,"Indian restaurant, Family restaurant, Fast food restaurant, Halal restaurant, North Indian restaurant, South Indian restaurant",shiva meal delivery Toronto,
Sandra’s Italian Kitchen,"2899 Steeles Ave W #12, North York, ON M3J 3A1",North York,Ontario,M3J 3A1,+1 416-665-1999,https://sandrasitaliankitchen.com/,4.6,647,43.781911699999995,-79.49140059999999,"{'Friday': ['10:45a.m.-4:45p.m.'], 'Monday': ['Closed'], 'Saturday': ['10:45a.m.-5:30p.m.'], 'Sunday': ['10:30a.m.-4:45p.m.'], 'Thursday': ['10:45a.m.-4:45p.m.'], 'Tuesday': ['10:30a.m.-7p.m.'], 'Wednesday': ['10:30a.m.-4:45p.m.']}",ChIJbScvuhA2V0ARzA76gNijLRk,Caterer,"Caterer, Italian restaurant, Halal restaurant, Takeout Restaurant, Pizza restaurant, Sandwich shop",shiva meal delivery Toronto,
Power Kitchen,"46 Hollinger Rd, Toronto, ON M4B 3G5",Toronto,Ontario,M4B 3G5,+1 647-479-0413,https://powerkitchen.ca/,4.7,543,43.714118899999995,-79.31358449999999,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJlwxHr3TL1IkR9246JZvwH-c,Delivery Restaurant,"Delivery Restaurant, Box lunch supplier, Caterer, Health food restaurant, Health food store, Delivery Service, Takeout Restaurant",shiva meal delivery Toronto,
Essential Meal Delivery,"37 Advance Rd #105, Etobicoke, ON M8Z 2S6",Etobicoke,Ontario,M8Z 2S6,+1 647-230-0085,http://www.essentialmealdelivery.com/,4.5,60,43.6335464,-79.5277629,"{'Friday': ['Closed'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['9a.m.-5p.m.'], 'Sunday': ['9a.m.-5p.m.'], 'Thursday': ['Closed'], 'Tuesday': ['Closed'], 'Wednesday': ['Closed']}",ChIJoxbFKec0K4gRY2ppTKX2Vwk,Delivery Restaurant,"Delivery Restaurant, Caterer",shiva meal delivery Toronto,
Hi Chef,"105 Vanderhoof Ave, East York, ON M4G 2H7",CA,Ontario,M4G 2H7,+1 289-830-5300,http://www.hichef.ca/,4.9,58,43.7119536,-79.36036849999999,"{'Friday': ['8a.m.-9p.m.'], 'Monday': ['8a.m.-9p.m.'], 'Saturday': ['8a.m.-9p.m.'], 'Sunday': ['8a.m.-9p.m.'], 'Thursday': ['8a.m.-9p.m.'], 'Tuesday': ['8a.m.-9p.m.'], 'Wednesday': ['8a.m.-9p.m.']}",ChIJdeVkCbGG2wkRVqOS79fpDgQ,Delivery Restaurant,"Delivery Restaurant, Catering food and drink supplier, Caterer, Delivery Service, Health food restaurant, Personal chef service",shiva meal delivery Toronto,
