name,full_address,city,state,postal_code,phone,site,rating,reviews,latitude,longitude,working_hours,place_id,type,subtypes,source_keyword,flag,removal_reason
Chezsiva Cooking School,"52 Glenholme Ave, Toronto, ON M6H 3A9",Toronto,Ontario,M6H 3A9,+1 416-838-9157,http://chezsiva.com/,,,43.676845,-79.4381926,None,ChIJVVXx6nA0K4gRWyWkq5VLjtI,Cooking school,Cooking school,shiva catering Toronto,,not_a_vendor
ZB Hospitality Group Inc.,"2301 Keele St, North York, ON M6M 3Z9",CA,Ontario,M6M 3Z9,+1 416-386-9946,http://www.zbhospitality.com/,4.4,51,43.704254399999996,-79.476277,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJ1T7ssWHN1IkR4yX5O4tAMqw,Event management company,Event management company,shiva platters Toronto,,not_a_vendor
Gourmet Galaxy Catering,"20 Camden St Suite 200, Toronto, ON M5V 1V1",Toronto,Ontario,M5V 1V1,+1 416-767-9201,https://gourmetgalaxy.com/,5.0,1,43.6473699,-79.39699279999999,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJnd7qpY42K4gRXPKaC4XZ8Hg,Caterer,Caterer,shiva platters Toronto,,too_few_reviews
The Village Shul,"1072 Eglinton Ave W, Toronto, ON M6C 2E2",Toronto,Ontario,M6C 2E2,+1 416-785-1107,http://www.ourvillageshul.com/,4.8,60,43.6999752,-79.43133329999999,"{'Friday': ['9a.m.-2p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['7:30a.m.-7p.m.'], 'Sunday': ['8a.m.-5p.m.'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJ5-liypgzK4gR8LSPYRjSICc,Orthodox synagogue,"Orthodox synagogue, Synagogue",shiva platters Toronto,,not_a_vendor
Eisenbergs - Dairy Restaurant & Caterer @ The Prosserman JCC,"4588 Bathurst St, North York, ON M2R 3V2",North York,Ontario,M2R 3V2,+1 416-638-1881,https://www.eisenbergsandwiches.com/,4.6,61.0,43.7627338,-79.4418798,"{'Friday': ['8:30a.m.-3p.m.'], 'Monday': ['8:30a.m.-7p.m.'], 'Saturday': ['Closed'], 'Sunday': ['8:30a.m.-6p.m.'], 'Thursday': ['8:30a.m.-7p.m.'], 'Tuesday': ['8:30a.m.-7p.m.'], 'Wednesday': ['8:30a.m.-7p.m.']}",ChIJ94g9dx0tK4gRZDQSQPRMD3Y,Kosher restaurant,"Kosher restaurant, Cafe, Catering food and drink supplier, Caterer, Event venue, Restaurant",shiva food package Toronto,,not_a_vendor
Hare Krishna Temple - International Society For Krishna Consciousness (ISKCON),"243 Avenue Rd, Toronto, ON M5R 2J6",Toronto,Ontario,M5R 2J6,+1 416-922-5415,http://www.torontokrishna.com/,4.9,3078.0,43.6768722,-79.39714049999999,"{'Friday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.'], 'Monday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.'], 'Saturday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.'], 'Sunday': ['4:15a.m.-8:30p.m.'], 'Thursday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.'], 'Tuesday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.'], 'Wednesday': ['4:15a.m.-12:30p.m.', '4-8:30p.m.']}",ChIJ0XGO1KA0K4gR7I8uKE8hcl8,Hindu temple,"Hindu temple, Meditation center, Organic restaurant, Religious organization, Tourist attraction",shiva food package Toronto,,not_a_vendor
Emma's Eatery Catering,"Summerhill Ave, Toronto, ON M4T 1A9",Toronto,Ontario,M4T 1A9,+1 416-577-7944,http://www.emmaseaterycatering.com/,5.0,7,43.683282,-79.39013969999999,"{'Friday': ['9a.m.-5p.m.'], 'Monday': ['9a.m.-5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed'], 'Thursday': ['9a.m.-5p.m.'], 'Tuesday': ['9a.m.-5p.m.'], 'Wednesday': ['9a.m.-5p.m.']}",ChIJtWVhylAzK4gRyw_7sst6qkA,Caterer,Caterer,bereavement catering Toronto,,too_few_reviews
Jacobs Catering,"1 Viewmount Ave, North York, ON M6B 1T2",North York,Ontario,M6B 1T2,+1 905-886-3832,https://www.jacobscatering.ca/,3.0,3,43.7102268,-79.4279928,"{'Friday': ['9a.m.-4p.m.'], 'Monday': ['9a.m.-5:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['12-3p.m.'], 'Thursday': ['9a.m.-5:30p.m.'], 'Tuesday': ['9a.m.-5:30p.m.'], 'Wednesday': ['9a.m.-5:30p.m.']}",ChIJsXHceKgzK4gR2ET9bVD1VSQ,Caterer,Caterer,kosher caterer Toronto,,too_few_reviews
Bay St Deli Kosher,"40 Bay St., Toronto, ON M5J 2X8",Toronto,Ontario,M5J 2X8,,,4.3,10,43.6437007,-79.3784421,None,ChIJ20v2wFLL1IkRl3TybI1tHxA,Kosher restaurant,Kosher restaurant,kosher platters delivery Toronto,,too_few_reviews
Cut The Prep Meal Prep,"5 Mariner Terrace Suite 2911, Toronto, ON M5V 3V6",Toronto,Ontario,M5V 3V6,+1 437-990-1779,,5.0,6,43.6397355,-79.3904175,"{'Friday': ['Open 24 hours'], 'Monday': ['Open 24 hours'], 'Saturday': ['Open 24 hours'], 'Sunday': ['Open 24 hours'], 'Thursday': ['Open 24 hours'], 'Tuesday': ['Open 24 hours'], 'Wednesday': ['Open 24 hours']}",ChIJ7TjIMYbL1IkRIWyguxmgFv8,Catering food and drink supplier,"Catering food and drink supplier, Food producer, Consultant",kosher meal delivery same day Toronto,,too_few_reviews
